postgres-1  | 2026-09-06 14:57:48.699 UTC [3211] LOG:  process 3211 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 3755.137 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3185] LOG:  process 3185 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 3688.494 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3206] LOG:  process 3206 acquired ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 4806.389 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3220] LOG:  process 3220 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 3653.192 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3186] LOG:  process 3186 acquired ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 4800.680 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3223] LOG:  process 3223 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 3533.340 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3205] LOG:  process 3205 acquired ExclusiveLock on tuple (4,89) of relation 16385 of database 16384 after 3891.359 ms
postgres-1  | 2026-09-06 14:57:48.699 UTC [3219] LOG:  process 3219 acquired ExclusiveLock on tuple (3,99) of relation 16385 of database 16384 after 2774.540 ms
postgres-1  | 2026-09-06 14:57:48.702 UTC [3216] LOG:  process 3216 acquired ShareLock on transaction 3545 after 3999.516 ms
postgres-1  | 2026-09-06 14:57:48.702 UTC [3213] LOG:  process 3213 acquired ExclusiveLock on tuple (4,92) of relation 16385 of database 16384 after 4020.515 ms
postgres-1  | 2026-09-06 14:57:48.702 UTC [3221] LOG:  process 3221 acquired ExclusiveLock on tuple (4,92) of relation 16385 of database 16384 after 2996.489 ms
postgres-1  | 2026-09-06 14:57:49.044 UTC [3218] LOG:  process 3218 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1003.853 ms
postgres-1  | 2026-09-06 14:57:49.695 UTC [3188] LOG:  process 3188 still waiting for ShareLock on transaction 3560 after 1000.801 ms
postgres-1  | 2026-09-06 14:57:49.699 UTC [3210] LOG:  process 3210 still waiting for ShareLock on transaction 3554 after 1003.937 ms
postgres-1  | 2026-09-06 14:57:49.699 UTC [3220] LOG:  process 3220 still waiting for ShareLock on transaction 3554 after 1000.180 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3185] LOG:  process 3185 still waiting for ShareLock on transaction 3554 after 1001.024 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3212] LOG:  process 3212 still waiting for ExclusiveLock on tuple (3,103) of relation 16385 of database 16384 after 1000.690 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3214] LOG:  process 3214 still waiting for ShareLock on transaction 3531 after 1001.242 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3223] LOG:  process 3223 still waiting for ShareLock on transaction 3554 after 1000.874 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3206] LOG:  process 3206 still waiting for ShareLock on transaction 3531 after 1001.169 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3219] LOG:  process 3219 still waiting for ShareLock on transaction 3554 after 1000.871 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3211] LOG:  process 3211 still waiting for ShareLock on transaction 3554 after 1001.359 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3186] LOG:  process 3186 still waiting for ShareLock on transaction 3531 after 1001.108 ms
postgres-1  | 2026-09-06 14:57:49.700 UTC [3187] LOG:  process 3187 still waiting for ShareLock on transaction 3531 after 1000.889 ms
postgres-1  | 2026-09-06 14:57:49.704 UTC [3221] LOG:  process 3221 detected deadlock while waiting for ShareLock on transaction 3557 after 1001.597 ms
postgres-1  | 2026-09-06 14:57:49.704 UTC [3216] LOG:  process 3216 still waiting for ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1001.274 ms
postgres-1  | 2026-09-06 14:57:49.704 UTC [3221] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:49.704 UTC [3208] LOG:  process 3208 acquired ShareLock on transaction 3558 after 3999.168 ms
postgres-1  | 2026-09-06 14:57:49.704 UTC [3213] LOG:  process 3213 still waiting for ShareLock on transaction 3557 after 1002.148 ms
postgres-1  | 2026-09-06 14:57:49.705 UTC [3224] LOG:  process 3224 acquired ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 3719.745 ms
postgres-1  | 2026-09-06 14:57:49.706 UTC [3205] LOG:  process 3205 still waiting for ShareLock on transaction 3531 after 1007.027 ms
postgres-1  | 2026-09-06 14:57:49.872 UTC [3184] LOG:  process 3184 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1005.165 ms
postgres-1  | 2026-09-06 14:57:49.873 UTC [3222] LOG:  process 3222 still waiting for ExclusiveLock on tuple (5,106) of relation 16385 of database 16384 after 1003.907 ms
postgres-1  | 2026-09-06 14:57:49.916 UTC [3217] LOG:  process 3217 still waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1007.602 ms
postgres-1  | 2026-09-06 14:57:50.708 UTC [3208] LOG:  process 3208 detected deadlock while waiting for ShareLock on transaction 3557 after 1002.217 ms
postgres-1  | 2026-09-06 14:57:50.708 UTC [3208] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:57:50.708 UTC [3224] LOG:  process 3224 still waiting for ShareLock on transaction 3561 after 1003.107 ms
postgres-1  | 2026-09-06 14:57:50.708 UTC [3224] LOG:  process 3224 acquired ShareLock on transaction 3561 after 1003.461 ms
postgres-1  | 2026-09-06 14:57:50.708 UTC [3216] LOG:  process 3216 acquired ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 2005.528 ms
postgres-1  | 2026-09-06 14:57:50.887 UTC [3221] LOG:  process 3221 still waiting for ExclusiveLock on tuple (5,103) of relation 16385 of database 16384 after 1010.142 ms
