postgres-1  | 2026-09-06 14:42:55.216 UTC [121] LOG:  process 121 acquired ExclusiveLock on tuple (0,50) of relation 16385 of database 16384 after 2723.345 ms
postgres-1  | 2026-09-06 14:42:55.221 UTC [127] LOG:  process 127 acquired ShareLock on transaction 848 after 4008.636 ms
postgres-1  | 2026-09-06 14:42:55.221 UTC [116] LOG:  process 116 acquired ExclusiveLock on tuple (0,50) of relation 16385 of database 16384 after 1933.591 ms
postgres-1  | 2026-09-06 14:42:55.221 UTC [108] LOG:  process 108 acquired ExclusiveLock on tuple (0,58) of relation 16385 of database 16384 after 4962.007 ms
postgres-1  | 2026-09-06 14:42:55.221 UTC [125] LOG:  process 125 acquired ExclusiveLock on tuple (0,58) of relation 16385 of database 16384 after 4936.692 ms
postgres-1  | 2026-09-06 14:42:55.221 UTC [123] LOG:  process 123 acquired ExclusiveLock on tuple (0,58) of relation 16385 of database 16384 after 3910.409 ms
postgres-1  | 2026-09-06 14:42:55.359 UTC [82] LOG:  process 82 detected deadlock while waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 1003.932 ms
postgres-1  | 2026-09-06 14:42:55.359 UTC [82] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:56.222 UTC [125] LOG:  process 125 detected deadlock while waiting for ShareLock on transaction 852 after 1000.586 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [125] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:56.222 UTC [116] LOG:  process 116 still waiting for ShareLock on transaction 875 after 1001.079 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [108] LOG:  process 108 still waiting for ShareLock on transaction 852 after 1000.994 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [120] LOG:  process 120 acquired ShareLock on transaction 854 after 5868.152 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [123] LOG:  process 123 still waiting for ShareLock on transaction 852 after 1000.411 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [121] LOG:  process 121 still waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1000.392 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [127] LOG:  process 127 still waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 1000.316 ms
postgres-1  | 2026-09-06 14:42:56.222 UTC [110] LOG:  process 110 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 5831.654 ms
postgres-1  | 2026-09-06 14:42:56.395 UTC [85] LOG:  process 85 still waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1003.147 ms
postgres-1  | 2026-09-06 14:42:56.431 UTC [126] LOG:  process 126 still waiting for ShareLock on transaction 879 after 1010.262 ms
postgres-1  | 2026-09-06 14:42:56.460 UTC [113] LOG:  process 113 detected deadlock while waiting for ShareLock on transaction 852 after 1006.589 ms
postgres-1  | 2026-09-06 14:42:56.460 UTC [113] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:56.639 UTC [82] LOG:  process 82 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 1010.338 ms
postgres-1  | 2026-09-06 14:42:57.223 UTC [110] LOG:  process 110 detected deadlock while waiting for ShareLock on transaction 861 after 1000.872 ms
postgres-1  | 2026-09-06 14:42:57.223 UTC [110] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:57.223 UTC [118] LOG:  process 118 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 6780.538 ms
postgres-1  | 2026-09-06 14:42:57.462 UTC [120] LOG:  process 120 detected deadlock while waiting for ShareLock on transaction 852 after 1001.223 ms
postgres-1  | 2026-09-06 14:42:57.462 UTC [120] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:57.463 UTC [119] LOG:  process 119 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 7012.810 ms
postgres-1  | 2026-09-06 14:42:57.519 UTC [125] LOG:  process 125 still waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1001.148 ms
postgres-1  | 2026-09-06 14:42:57.559 UTC [113] LOG:  process 113 still waiting for ExclusiveLock on tuple (0,76) of relation 16385 of database 16384 after 1001.395 ms
postgres-1  | 2026-09-06 14:42:58.338 UTC [110] LOG:  process 110 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 1001.287 ms
postgres-1  | 2026-09-06 14:42:58.469 UTC [118] LOG:  process 118 detected deadlock while waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 1004.865 ms
postgres-1  | 2026-09-06 14:42:58.469 UTC [118] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:58.469 UTC [111] LOG:  process 111 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 7173.525 ms
postgres-1  | 2026-09-06 14:42:58.624 UTC [120] LOG:  process 120 detected deadlock while waiting for ExclusiveLock on tuple (0,70) of relation 16385 of database 16384 after 1009.324 ms
postgres-1  | 2026-09-06 14:42:58.625 UTC [120] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:59.403 UTC [83] LOG:  process 83 still waiting for ShareLock on transaction 849 after 6193.598 ms
postgres-1  | 2026-09-06 14:42:59.470 UTC [111] LOG:  process 111 detected deadlock while waiting for ShareLock on transaction 867 after 1000.798 ms
postgres-1  | 2026-09-06 14:42:59.470 UTC [111] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:42:59.471 UTC [119] LOG:  process 119 still waiting for ExclusiveLock on tuple (0,70) of relation 16385 of database 16384 after 1000.501 ms
postgres-1  | 2026-09-06 14:42:59.471 UTC [84] LOG:  process 84 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 8136.077 ms
postgres-1  | 2026-09-06 14:42:59.502 UTC [119] LOG:  process 119 still waiting for ExclusiveLock on tuple (0,70) of relation 16385 of database 16384 after 1032.088 ms
postgres-1  | 2026-09-06 14:42:59.514 UTC [109] LOG:  process 109 still waiting for ShareLock on transaction 859 after 8203.291 ms
postgres-1  | 2026-09-06 14:42:59.518 UTC [122] LOG:  process 122 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 6309.119 ms
postgres-1  | 2026-09-06 14:42:59.551 UTC [123] LOG:  process 123 still waiting for ShareLock on transaction 852 after 4329.818 ms
postgres-1  | 2026-09-06 14:42:59.575 UTC [108] LOG:  process 108 still waiting for ShareLock on transaction 852 after 4354.283 ms
postgres-1  | 2026-09-06 14:42:59.621 UTC [117] LOG:  process 117 still waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 9116.052 ms
postgres-1  | 2026-09-06 14:42:59.658 UTC [118] LOG:  process 118 still waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 1010.647 ms
postgres-1  | 2026-09-06 14:42:59.668 UTC [127] LOG:  process 127 still waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 4446.770 ms
postgres-1  | 2026-09-06 14:42:59.846 UTC [120] LOG:  process 120 still waiting for ShareLock on transaction 876 after 1009.599 ms
postgres-1  | 2026-09-06 14:43:00.479 UTC [84] LOG:  process 84 detected deadlock while waiting for ShareLock on transaction 867 after 1007.883 ms
postgres-1  | 2026-09-06 14:43:00.479 UTC [84] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:00.480 UTC [115] LOG:  process 115 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 9023.639 ms
postgres-1  | 2026-09-06 14:43:00.719 UTC [111] LOG:  process 111 still waiting for ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 1005.791 ms
postgres-1  | 2026-09-06 14:43:01.483 UTC [115] LOG:  process 115 detected deadlock while waiting for ShareLock on transaction 867 after 1002.599 ms
postgres-1  | 2026-09-06 14:43:01.483 UTC [115] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:01.483 UTC [114] LOG:  process 114 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 9014.710 ms
postgres-1  | 2026-09-06 14:43:01.758 UTC [84] LOG:  process 84 still waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1003.634 ms
postgres-1  | 2026-09-06 14:43:02.490 UTC [114] LOG:  process 114 detected deadlock while waiting for ShareLock on transaction 867 after 1006.992 ms
postgres-1  | 2026-09-06 14:43:02.490 UTC [114] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:02.491 UTC [122] LOG:  process 122 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 9282.045 ms
postgres-1  | 2026-09-06 14:43:02.790 UTC [115] LOG:  process 115 still waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1003.241 ms
postgres-1  | 2026-09-06 14:43:03.492 UTC [122] LOG:  process 122 detected deadlock while waiting for ShareLock on transaction 867 after 1000.683 ms
postgres-1  | 2026-09-06 14:43:03.492 UTC [122] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:03.492 UTC [83] LOG:  process 83 acquired ShareLock on transaction 849 after 10283.254 ms
postgres-1  | 2026-09-06 14:43:03.492 UTC [82] LOG:  process 82 acquired ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 7863.850 ms
postgres-1  | 2026-09-06 14:43:03.493 UTC [117] LOG:  process 117 acquired ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 12987.848 ms
postgres-1  | 2026-09-06 14:43:03.601 UTC [114] LOG:  process 114 still waiting for ExclusiveLock on tuple (0,70) of relation 16385 of database 16384 after 1009.140 ms
postgres-1  | 2026-09-06 14:43:04.498 UTC [117] LOG:  process 117 detected deadlock while waiting for ShareLock on transaction 865 after 1005.001 ms
postgres-1  | 2026-09-06 14:43:04.498 UTC [117] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:04.499 UTC [86] LOG:  process 86 acquired ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 12916.851 ms
postgres-1  | 2026-09-06 14:43:04.499 UTC [82] LOG:  process 82 still waiting for ShareLock on transaction 867 after 1006.936 ms
postgres-1  | 2026-09-06 14:43:04.502 UTC [83] LOG:  process 83 detected deadlock while waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1009.230 ms
postgres-1  | 2026-09-06 14:43:04.502 UTC [83] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:04.503 UTC [127] LOG:  process 127 acquired ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 9281.181 ms
postgres-1  | 2026-09-06 14:43:04.614 UTC [122] LOG:  process 122 still waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1001.944 ms
postgres-1  | 2026-09-06 14:43:05.504 UTC [86] LOG:  process 86 detected deadlock while waiting for ExclusiveLock on tuple (0,76) of relation 16385 of database 16384 after 1000.679 ms
postgres-1  | 2026-09-06 14:43:05.504 UTC [86] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:05.504 UTC [118] LOG:  process 118 acquired ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 6856.959 ms
postgres-1  | 2026-09-06 14:43:05.671 UTC [83] LOG:  process 83 detected deadlock while waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1005.713 ms
postgres-1  | 2026-09-06 14:43:05.671 UTC [83] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:05.692 UTC [117] LOG:  process 117 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 1002.887 ms
postgres-1  | 2026-09-06 14:43:06.506 UTC [127] LOG:  process 127 detected deadlock while waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1001.816 ms
postgres-1  | 2026-09-06 14:43:06.507 UTC [127] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:06.507 UTC [118] LOG:  process 118 still waiting for ShareLock on transaction 852 after 1002.651 ms
postgres-1  | 2026-09-06 14:43:06.507 UTC [118] LOG:  process 118 acquired ShareLock on transaction 852 after 1002.914 ms
postgres-1  | 2026-09-06 14:43:06.507 UTC [108] LOG:  process 108 acquired ShareLock on transaction 852 after 11286.425 ms
postgres-1  | 2026-09-06 14:43:06.507 UTC [123] LOG:  process 123 acquired ShareLock on transaction 852 after 11285.877 ms
postgres-1  | 2026-09-06 14:43:06.508 UTC [111] LOG:  process 111 acquired ExclusiveLock on tuple (0,56) of relation 16385 of database 16384 after 6794.275 ms
postgres-1  | 2026-09-06 14:43:06.719 UTC [86] LOG:  process 86 still waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1000.505 ms
postgres-1  | 2026-09-06 14:43:06.930 UTC [83] LOG:  process 83 still waiting for ExclusiveLock on tuple (0,70) of relation 16385 of database 16384 after 1001.501 ms
postgres-1  | 2026-09-06 14:43:07.508 UTC [111] LOG:  process 111 detected deadlock while waiting for ShareLock on transaction 887 after 1000.263 ms
postgres-1  | 2026-09-06 14:43:07.508 UTC [123] LOG:  process 123 still waiting for ShareLock on transaction 853 after 1000.516 ms
postgres-1  | 2026-09-06 14:43:07.508 UTC [111] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:07.509 UTC [118] LOG:  process 118 detected deadlock while waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1000.167 ms
postgres-1  | 2026-09-06 14:43:07.509 UTC [118] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:07.789 UTC [127] LOG:  process 127 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 1000.743 ms
postgres-1  | 2026-09-06 14:43:08.512 UTC [108] LOG:  process 108 detected deadlock while waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1002.143 ms
postgres-1  | 2026-09-06 14:43:08.512 UTC [108] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:08.512 UTC [123] LOG:  process 123 acquired ShareLock on transaction 853 after 2004.961 ms
postgres-1  | 2026-09-06 14:43:08.607 UTC [111] LOG:  process 111 detected deadlock while waiting for ExclusiveLock on tuple (0,76) of relation 16385 of database 16384 after 1000.573 ms
postgres-1  | 2026-09-06 14:43:08.607 UTC [111] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:08.825 UTC [118] LOG:  process 118 still waiting for ExclusiveLock on tuple (0,70) of relation 16385 of database 16384 after 1005.846 ms
postgres-1  | 2026-09-06 14:43:09.517 UTC [123] LOG:  process 123 detected deadlock while waiting for ExclusiveLock on tuple (0,76) of relation 16385 of database 16384 after 1004.217 ms
postgres-1  | 2026-09-06 14:43:09.517 UTC [123] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:09.518 UTC [109] LOG:  process 109 acquired ShareLock on transaction 859 after 18207.306 ms
postgres-1  | 2026-09-06 14:43:09.518 UTC [124] LOG:  process 124 acquired ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 18019.108 ms
postgres-1  | 2026-09-06 14:43:09.642 UTC [108] LOG:  process 108 still waiting for ExclusiveLock on tuple (0,53) of relation 16385 of database 16384 after 1003.645 ms
postgres-1  | 2026-09-06 14:43:09.777 UTC [111] LOG:  process 111 still waiting for ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 1002.705 ms
postgres-1  | 2026-09-06 14:43:10.519 UTC [124] LOG:  process 124 detected deadlock while waiting for ShareLock on transaction 860 after 1000.969 ms
postgres-1  | 2026-09-06 14:43:10.519 UTC [124] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:10.520 UTC [109] LOG:  process 109 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 1000.400 ms
postgres-1  | 2026-09-06 14:43:10.520 UTC [121] LOG:  process 121 acquired ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 15298.567 ms
postgres-1  | 2026-09-06 14:43:10.731 UTC [123] LOG:  process 123 still waiting for ExclusiveLock on tuple (0,52) of relation 16385 of database 16384 after 1010.871 ms
postgres-1  | 2026-09-06 14:43:11.522 UTC [121] LOG:  process 121 detected deadlock while waiting for ShareLock on transaction 860 after 1001.427 ms
postgres-1  | 2026-09-06 14:43:11.522 UTC [121] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:11.522 UTC [116] LOG:  process 116 acquired ShareLock on transaction 875 after 16301.207 ms
postgres-1  | 2026-09-06 14:43:11.522 UTC [122] LOG:  process 122 acquired ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 7909.770 ms
postgres-1  | 2026-09-06 14:43:11.522 UTC [113] LOG:  process 113 acquired ExclusiveLock on tuple (0,76) of relation 16385 of database 16384 after 14964.883 ms
postgres-1  | 2026-09-06 14:43:11.529 UTC [112] LOG:  process 112 acquired ShareLock on transaction 876 after 18218.343 ms
postgres-1  | 2026-09-06 14:43:11.529 UTC [120] LOG:  process 120 acquired ShareLock on transaction 876 after 12692.660 ms
postgres-1  | 2026-09-06 14:43:11.529 UTC [85] LOG:  process 85 acquired ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 16137.616 ms
postgres-1  | 2026-09-06 14:43:11.529 UTC [108] LOG:  process 108 acquired ExclusiveLock on tuple (0,53) of relation 16385 of database 16384 after 2890.988 ms
postgres-1  | 2026-09-06 14:43:11.529 UTC [125] LOG:  process 125 acquired ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 15011.892 ms
postgres-1  | 2026-09-06 14:43:11.529 UTC [84] LOG:  process 84 acquired ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 10775.039 ms
postgres-1  | 2026-09-06 14:43:11.530 UTC [115] LOG:  process 115 acquired ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 9742.725 ms
postgres-1  | 2026-09-06 14:43:11.530 UTC [111] LOG:  process 111 acquired ExclusiveLock on tuple (0,61) of relation 16385 of database 16384 after 2755.504 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [85] LOG:  process 85 detected deadlock while waiting for ShareLock on transaction 877 after 1001.223 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [111] LOG:  process 111 still waiting for ShareLock on transaction 877 after 1001.096 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [115] LOG:  process 115 still waiting for ShareLock on transaction 877 after 1001.186 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [108] LOG:  process 108 still waiting for ShareLock on transaction 888 after 1001.392 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [113] LOG:  process 113 still waiting for ExclusiveLock on tuple (0,57) of relation 16385 of database 16384 after 1001.297 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [120] LOG:  process 120 still waiting for ShareLock on transaction 884 after 1001.251 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [85] ERROR:  deadlock detected
postgres-1  | 2026-09-06 14:43:12.531 UTC [84] LOG:  process 84 still waiting for ShareLock on transaction 877 after 1001.461 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [122] LOG:  process 122 still waiting for ShareLock on transaction 860 after 1008.961 ms
postgres-1  | 2026-09-06 14:43:12.531 UTC [124] LOG:  process 124 still waiting for ShareLock on transaction 884 after 1002.010 ms
